epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9237,1.27803,1.5705,1.37547,0.60495,0.66308,0.58861,0.3221,1.54042,1.57262,1.61461,0.00065,0.00065,0.00065
2,33.665,1.28916,1.2332,1.35809,0.60045,0.58713,0.63234,0.35603,1.46649,2.24449,1.57865,0.00128408,0.00128408,0.00128408
3,47.0079,1.31078,1.17924,1.39108,0.34949,0.35484,0.26886,0.11533,2.19186,3.746,2.56753,0.00188516,0.00188516,0.00188516
4,60.2635,1.34592,1.22807,1.41302,0.61444,0.60215,0.59725,0.36484,1.48387,2.40721,1.60334,0.0018515,0.0018515,0.0018515
5,73.8181,1.24882,1.07882,1.36215,0.7129,0.66308,0.71047,0.44977,1.37795,2.13359,1.55755,0.001802,0.001802,0.001802
6,87.5287,1.22071,1.02235,1.33668,0.66141,0.70251,0.7389,0.43757,1.36205,1.36492,1.51739,0.0017525,0.0017525,0.0017525
7,102.052,1.16182,0.98117,1.29566,0.82372,0.67384,0.78652,0.53391,1.21275,1.17832,1.33813,0.001703,0.001703,0.001703
8,115.857,1.09424,0.92149,1.25747,0.78674,0.75368,0.83995,0.56957,1.21052,0.94682,1.37376,0.0016535,0.0016535,0.0016535
9,129.846,1.11652,0.93193,1.28713,0.90973,0.75986,0.86613,0.5987,1.19158,0.89513,1.27808,0.001604,0.001604,0.001604
10,143.597,1.12435,0.92884,1.27237,0.79828,0.79433,0.86246,0.59344,1.16972,0.8762,1.30319,0.0015545,0.0015545,0.0015545
11,157.192,1.07707,0.87718,1.2604,0.8656,0.80792,0.89995,0.622,1.11972,0.82336,1.28396,0.001505,0.001505,0.001505
12,171.03,1.06676,0.85974,1.23183,0.85698,0.82796,0.91145,0.66227,1.06098,0.76464,1.20815,0.0014555,0.0014555,0.0014555
13,184.585,1.04002,0.8592,1.24091,0.88549,0.80374,0.89768,0.65965,1.0157,0.7298,1.17546,0.001406,0.001406,0.001406
14,198.281,0.99728,0.8177,1.20524,0.85702,0.8172,0.89842,0.65367,1.00159,0.73735,1.18289,0.0013565,0.0013565,0.0013565
15,213.405,1.00689,0.77233,1.18789,0.88493,0.82689,0.91826,0.67659,1.02977,0.69146,1.18938,0.001307,0.001307,0.001307
16,227.959,0.97538,0.75723,1.18309,0.92139,0.77778,0.90575,0.68228,0.98088,0.70889,1.14473,0.0012575,0.0012575,0.0012575
17,241.541,0.96466,0.75937,1.17718,0.847,0.84588,0.91459,0.67847,1.0218,0.69029,1.18873,0.001208,0.001208,0.001208
