epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4111,1.99227,2.86159,2.12752,0,0,0,0,nan,nan,nan,0.070375,0.00329167,0.00329167
2,70.5877,2.0289,2.2464,2.21202,0.00084,0.03226,0.00045,7e-05,nan,nan,nan,0.0400471,0.00629706,0.00629706
3,99.5805,1.97396,2.12365,2.13839,0.12254,0.36918,0.14222,0.04636,2.48738,15.2919,3.07951,0.00938912,0.00897246,0.00897246
4,129.306,1.86647,1.9407,2.04875,0.35175,0.40143,0.32513,0.13305,1.98042,3.69933,2.43979,0.008515,0.008515,0.008515
5,154.744,1.74514,1.84089,1.93795,0.48846,0.53405,0.48229,0.2372,1.8459,1.98301,2.26254,0.00802,0.00802,0.00802
6,179.84,1.68915,1.70683,1.87413,0.44738,0.5252,0.4233,0.22174,1.70848,2.16682,2.0713,0.007525,0.007525,0.007525
7,204.418,1.61082,1.61162,1.83029,0.5661,0.50971,0.51573,0.25266,1.8236,1.91979,2.17704,0.00703,0.00703,0.00703
8,229.543,1.60711,1.57931,1.81745,0.57102,0.52688,0.51096,0.26505,1.73565,1.95753,1.99976,0.006535,0.006535,0.006535
9,258.277,1.58038,1.55736,1.80859,0.68759,0.63082,0.68539,0.40639,1.54771,1.6252,1.87452,0.00604,0.00604,0.00604
10,283.486,1.52955,1.45554,1.78732,0.73981,0.62007,0.7041,0.41572,1.58119,1.49007,1.90844,0.005545,0.005545,0.005545
11,314.725,1.5198,1.40822,1.79858,0.68402,0.71685,0.73841,0.44071,1.54952,1.43416,1.87866,0.00505,0.00505,0.00505
12,340.11,1.47562,1.32734,1.74889,0.7579,0.68459,0.77769,0.5054,1.43499,1.33845,1.77371,0.004555,0.004555,0.004555
13,364.689,1.40803,1.20018,1.71302,0.74335,0.78136,0.81084,0.53039,1.39807,1.19394,1.71134,0.00406,0.00406,0.00406
14,389.635,1.36298,1.17229,1.67497,0.82579,0.60215,0.76021,0.47633,1.46822,1.3177,1.74648,0.003565,0.003565,0.003565
15,414.187,1.31889,1.13358,1.63236,0.80684,0.75627,0.81124,0.54261,1.33622,1.11933,1.67509,0.00307,0.00307,0.00307
16,442.81,1.25939,1.06878,1.58869,0.77759,0.78853,0.84635,0.57712,1.32653,1.08722,1.64074,0.002575,0.002575,0.002575
17,467.968,1.25611,1.04751,1.57523,0.83877,0.7645,0.84071,0.59134,1.30201,1.05144,1.61718,0.00208,0.00208,0.00208
18,492.827,1.21963,0.99579,1.53226,0.79715,0.82796,0.86252,0.59839,1.24621,1.01314,1.57026,0.001585,0.001585,0.001585
19,517.392,1.18368,0.95073,1.52553,0.81592,0.81362,0.86646,0.62934,1.18268,0.9621,1.52156,0.00109,0.00109,0.00109
20,542.329,1.12342,0.90161,1.46784,0.81765,0.84229,0.87701,0.6359,1.19801,0.92859,1.53341,0.000595,0.000595,0.000595
